Review,Annotator_Sakib,Annotator_Sabbir,Annotator_Talha,Sentiment
"আসলে ধন্যবাদ দেওয়ার মত নয়,,,কি বলো৷ সত্যি অতুলনীয় যেবাবে দেখছি সেই বাবে পাইলাম ৷ আপনারা ও চাই নিতে পারে৷ পেপারলী সেলস ম্যান কুব ভালা মানুষ, আবার ও ধন্যবাদ জানাই",Positive,Positive,Positive,
"যেটা দেখে অর্ডার করেছি সেটা ডেলিভারী দেয়নি। ঘড়িতে ডেট ছিলো যেটা আসছে সেটায় ডেট নেই। ফালতু সেলার, ধোকাবাজ।",Negative,StronglyNegative,StronglyNegative,
আমার ঘড়িটা আজকে নেওয়ার পর থেকে চলছে না।আমি এইটা রিটার্ন করতে চাই,SlightlyNegative,SlightlyNegative,SlightlyNegative,
আলহামদুলিল্লাহ সবকিছুই এত সুন্দর ছিল বলার মত নয় অর্ডার দেয়ার দুই দিন পরেই প্রোডাক্টটি হতে পাই। সবকিছুই ভালো হইছে ধন্যবাদ।,Positive,Positive,Positive,
টি-শার্টটা যেভাবে ছবিতে দেখাইছে অইরকম না। কোরিয়ান টি-শার্ট এর হাতাগুলা অনেক লম্বা ধরনের হয়। কিন্তু যেটা হাতে পেয়েছি সেটা এইরকম না। তাই আমার ভালো লাগেনি।,SlightlyNegative,SlightlyNegative,SlightlyNegative,
"প্রথম দারাজ থেকে ক্রয় করা। ভালোই লাগলো। সব ঠিক ছিল দাম অনুযায়ী। ধন্যবাদ দারাজ যেটুকু আশা করেছিলাম একটুও ব্যাহত হয়নি,ধন্যবাদ সেলার, ধন্যবাদ দারাজ, ঠিক যেমন চেয়েছিলাম তেমনি পেয়েছি",Positive,Positive,Positive,
"আলহামদুলিল্লাহ, প্রোডাক্ট অনেক ভালো,,, আশা করি আগামী দিনেও আরো সুন্দর সুন্দর প্রোডাক্ট আমাদের দিবে ধন্যবাদ ❤️❤️দারাজ❤️❤️",StronglyPositive,StronglyPositive,StronglyPositive,
কি বলবো....বলার মতো কোন ভাষা নেই...যেমন টা oder করেছিলাম ঠিক তেমন টাই পেয়েছি....একদম same to same...দাম অনুযায়ী জিনিস টা just wow... আপনারা চাইলে চোখ বন্ধ করে oder করতে পারেন...,StronglyPositive,StronglyPositive,StronglyPositive,
"যদি বলা হয় ডিসকাউন্ট বা ফ্লাশ সেলে ১০০০ টাকার পন্য ২৫০/৩০০ টাকায় দেওয়া হচ্ছে তাহলে ভুল প্রচারণা এটা! পন্যটির স্বাভাবিক মুল্য এটাই। তাছারা মন্দ না, দাম হিসেবে যে কোয়ালিটি পাওয়ার কথা সেটাই। তবে যেহেতু ফ্লাশ সেলে এত বড় আকারে ডিসকাউন্টটা দেওয়া হয়েছে সেক্ষেত্রে মোটামুটি ভালো কোয়ালিটির আশা করেছিলাম। যাইহোক মোটামুটি ভালো। এই বাজেটে নিলে ঠকবেন না আশা করি।",SlightlyPositive,SlightlyPositive,SlightlyPositive,
খুব তাড়াতাড়ি ডেলিভারি দেওয়া হয়েছে🤘 হেডফুন অনেক ভালো👍 আপনারা চাইলে নিতে পারেন 👍 ধন্যবাদ দারাজ কে😎🤘,StronglyPositive,StronglyPositive,StronglyPositive,
"ভালো একটা প্রডাক্ট...! কমদামে যদি একটি ভালো প্রডাক্ট কিনতে চান তাহলে এটা হতে পারে আপনার জন্য ! আমার কাছে ভালো লেগেছে,টাকার দিক থেকে সাউন্ড এত ভালো কুয়ালিটি পাবেন না, তবে চলার বুঝ করে নিতে পারেন 😉 | লাইট গুলা জসস...! আরেকটা কথা এই ইয়ার-বাডস গুলা সাইজ এ একটু বড় 🙂 সাইজ এর জন্য 5/4 দিলাম..!💖",Positive,Positive,Positive,
দারাস থেকে এই প্রথম কোনো কিছু অর্ডার করলাম আলহামদুলিল্লাহ খুব ভালো অসংখ্য ধন্যবাদ জানাচ্ছি দারাসকে 🌹🌹🌹🥀,StronglyPositive,StronglyPositive,StronglyPositive,
ধন্যবাদ দারাজ কে এত সুন্দর প্রোডাক্ট আমাকে দেওয়ার জন্য সেই সাথে ধন্যবাদ ছেলার ভাইকে প্রোডাক্টটা অরজিনালি ছিল আপনারা চাইলে নিতে পারেন ভাই একটা কথা বলার ছিল আমি এত প্রোডাক্ট আপনাদের কাছ থেকে নিতাছি আমাকে কোন গিফট দেওয়া হইলো না এ পর্যন্ত কিন্তু উপরে ছবিতে একজন ভ্যান চালকের গায়ে ও দারাজের গেঞ্জি এটা কিন্তু মানতে পারি না ভাই অবশ্যই পরে কোন কিছুর অর্ডার দিলে অন্তত একটাই L সাইজের গেঞ্জি আমাকে গিফট করবেন ধন্যবাদ ভাল থাইকেন,Positive,Positive,Positive,
"এমন একটা বাজে মাল দিবে আমি আশা করিনি। ত্রিশ মিনিটও চার্জ থাকে না। সঙ্গে এয়ার টিপস দেয়নি। সব থেকে বড় কথা হচ্ছে ৮৫% চার্জ যখন পাওয়ার ব্যাংকে, এবং বার্ডস দুটোই ৫০% চার্জ থাকা সত্ত্বেও, কিভাবে ১০ মিনিটের ভেতর পাওয়ার ব্যাংক বন্ধ হয়ে যায়...?? বাজে প্রোডাক্ট দিয়েছে আমাকে, জনগণকে ঠকানো বাদ দিন, প্রোডাক্ট রিটার্ন করতে বাধ্য হয়েছি....🤬🤬😡😡",StronglyNegative,StronglyNegative,StronglyNegative,
সাউন্ড কোয়ালিটি অনেক ভালো আর চার্জিং ক্যাপাসিটি ও মোটামুটি ভালো কম টাকার মধ্যে একটা ভালো প্রোডাক্ট। সেলারের কাছ থেকে ভালো response পেয়েছি,Positive,Positive,Positive,
আলহামদুলিল্লাহ সাউন্ড কোয়ালিটি ভালো প্রজেক্টটা অনেক ভালো সবাই কিনতে পারেন,Positive,Positive,Positive,
সাউন্ড কোয়ালিটি খুব খারাপ চার্জ টিকে না,Negative,Negative,Negative,
খুব ভালো মানের একটা প্রোডাক্ট.দাম অনুযাই বেস্ট একটা প্রোডাক্ট,Positive,Positive,Positive,
একদম বাজে পনৌ চালু হচ্ছে না এই ব্যবহার করলো ডিলার,Negative,Negative,Negative,
অনেক সুন্দর একের মাল নিতে পারেন সবাই,Positive,Positive,Positive,
"অনেকের ভালো রিভিউ দেখে একটা অর্ডার করেছিলাম । চেয়েছিলাম কালো, পেলাম লাল কালো। নেকব্যান্ড এর ম্যাগনেট টা কাজ করে না । ফোনে কথা বলার সময় অপর পাশ থেকে কথা কেটে কেটে আসে । শুধু অডিও টা ভালোভাবে শুনা যায় । রিটার্ন করবো ।।",SlightlyNegative,SlightlyNegative,SlightlyNegative,
১০০% ভালো প্রোডাক্ট। চার্জের বিষয়টা দারুণ।ভালো বেজ+ট্রাবেল।এক কথায় অসাধারণ পন্য।ধন্যবাদ সেলার।সততা বজায় রেখে ব্যবসা করুন।💝🔥,StronglyPositive,StronglyPositive,StronglyPositive,
প্রোডাক্টটি অনেক অনেক ভালো আর চার্জ ও দীর্ঘখন যাবৎ টিকে থাকে।প্রোডাক্টটি দামের চাইতে গুণের মান অধিক।সবাই নিতে পারেন।।। ধন্যবাদ দারাজ,StronglyPositive,StronglyPositive,StronglyPositive,
"ভাই, আমাদের টাকার কি কোন মূল্য নেই নাকি? ফালতু, ভাংগা ও নষ্ট একটা প্রডাক্ট দিছে🥲🥲👑",StronglyNegative,StronglyNegative,StronglyNegative,
বাজে প্রডাক্ট চার্জিং এর ক্যবল ভাল ছিল না আগুন ধরছে নকল প্রডাক্ট,Negative,StronglyNegative,StronglyNegative,
ঘড়িটা দেখতে সুন্দর আছে। কিন্তু স্টিপ গুলো লাগাতে যুদ্ধ করতে হয়েছে। লাস্ট এ দোকানে গিয়ে লাগিয়ে নিতে হয়েছে। আর এটাতে কথা বলা বা শুনা শব্দ খুব কম। আর নিজের ছবি সেট করা যাচ্ছে না।,SlightlyNegative,SlightlyNegative,SlightlyNegative,
"আলহামদুলিল্লাহ। যা চেয়েছি তাই পেয়েছি ছেলার কেউ অসংখ্য ধন্যবাদ। আপনারা সবাই চাইলে নিতে পারেন, দাম অনুযায়ী খুব সুন্দর একটা জিনিস 😍😍😍",SlightlyPositive,StronglyPositive,StronglyPositive,
অনেক ভালো।দাম অনুযায়ী ঠিক আছে,Positive,Positive,Positive,
"...এক কথায় খুব সুন্দর একটি ঘড়ি।ব্যাটারি ব্যাকআপ ও খুব ভালো,স্বল্পমূল্যে এর চেয়ার ভালো কিছু আশা করা যায় না।ধন্যবাদ দারাজ!!!",StronglyPositive,StronglyPositive,StronglyPositive,
এক কথায় অসাধারণ।,StronglyPositive,StronglyPositive,StronglyPositive,
সবকিছু ঠিক আছে । বাট চার্জ একদম কম থাকে মোটামুটি 1 ঘন্টা । তাছাড়া সব ঠিক আছে।,Positive,Positive,Positive,
ঘড়ি টা ভালো নিতে পারেন,Positive,Positive,Positive,
আমি রিটার্ট করতে চাচ্ছি কিভাবে করবো??,Neutral,SlightlyNegative,SlightlyNegative,
বেশি ভালো না,SlightlyNegative,SlightlyNegative,SlightlyNegative,
"খুব সুন্দর হয়েছে,একদম যেমন চেয়েছি সেই ভাবেই পেয়েছি, কিন্তু সাইজ একটু ছোট,আর একটু বড় হওয়া উচিত ছিল।তা ছাড়া এমনি অনেক সুন্দর হয়েছে, ফিনিশিং টা সুন্দর ভাবে করা হয়েছে। ধন্যবাদ ণৃকন্ঠ।।",Positive,Positive,Positive,
"খুব সুন্দর হইছে অনেক ভালো লাগছে, আশা করবো এমন কাজ সব সময় এমন সার্ভিজ দিবেন, তার জন্য ধন্যবাদ, আপনাকে",StronglyPositive,StronglyPositive,StronglyPositive,
"এটা এমন একটা গিফট যে, যাকে দিবেন সে খুশী না হয়েই পারেনা। কাউকে পটাতে চাইলেও দিতে পারেন। বউকে, বোনকে, বন্ধুকে, কলিগকে বা যে কাউকে দিতে পারেন। প্রিন্ট খুব সুন্দর হয়েছে। লেখাও বুঝা যায় স্পষ্ট। আমি এই সেলারকে ১০০ তে ১০০ই দিলাম। ডেলিভারিও খুব দ্রুত পেয়েছি। অসাম জিনিস ভাই।",StronglyPositive,StronglyPositive,StronglyPositive,
আলহামদুলিল্লাহ,Positive,Positive,Positive,
"অনেক অনেক ধন্যবাদ সেলার ভাইকে। যাকে দিয়েছি, সে অনেক খুশি হইছে! খুশি হবেই না কেনো, এমন একটা আনকমোন জিনিস পেয়ে যে কেউই খুশি হবে! আরোও অনেক কৃতজ্ঞতা প্রকাশ করছি, এই জন্য যে,, আমার প্রোডাক্ট টা, ইমারজেন্সি চেয়েছিলাম, সেলার ভাই আমার কথা রেখেছেন! নির্দিষ্ট তারিখের ২ দিন আগে হাতে পেয়েছি ☺️ অসংখ্য ধন্যবাদ সবাইকে❤️",StronglyPositive,StronglyPositive,StronglyPositive,
আলহামদুলিল্লাহ খুব ভালো প্রডাক্ট 💞💞💞আপনারা চাইলে নিতে পারেন,StronglyPositive,StronglyPositive,StronglyPositive,
খুব ভালো কোয়ালিটি। দ্রুত ডেলিভারি দিয়েছেন। সেলার কে ধন্যবাদ,StronglyPositive,Positive,Positive,
ইনশাআল্লাহ আবার নিব। সাইজ ঠিক আছে।,Positive,Positive,Positive,
"এটা সাটিন সিল্ক নয়, এটা পলিয়েষ্টার। সততার অভাব সেলারের।",Negative,Negative,Negative,
খুব খু্ব সুন্দর 🥰🥰,StronglyPositive,StronglyPositive,StronglyPositive,
সুন্দর তবে দেওয়ার আগে। চেক করে দিবেন। কেমন কালো দাগ,SlightlyPositive,SlightlyPositive,SlightlyPositive,
অনেক সুন্দর একটা প্রডাক্ট নিচ সন্দেহ নিতে পারেন,Positive,Positive,Positive,
এটা সস্লিভলেস সুতি দিতে চেষ্া করবেন। পাতলা হোক,Positive,Positive,Positive,
আলহামদুলিল্লাহ খুব ভালো প্রোডাক্ট পেয়েছি।,Positive,Positive,Positive,
একবার পরেই ফ্যাতরা ফ্যাতরা করে ছিড়ে গেছে।,Negative,Negative,Negative,
সেলার খুবই আন্তরিক। আর প্রডাক্টও ভালো।,Positive,Positive,Positive,
হেব্বি একটা পেটিকোট। নিতে পারেন।,Positive,Positive,Positive,
খুব ভালো লাগছে আমি অনেক খুশি ❤️❤️,StronglyPositive,StronglyPositive,StronglyPositive,
এক কথায় অসাধারণ সবাই নিতে পারেন,Positive,StronglyPositive,StronglyPositive,
দাম অনুযায়ী ঠিক আছে। ধন্যবাদ,Positive,Positive,Positive,
কাপড় সিল্ককের ভাল নিতে পারেন,Positive,Positive,Positive,
এটা মোটামোটি ভালো হয়েছে।,SlightlyPositive,SlightlyPositive,SlightlyPositive,
মোটামুটি ভালো ধন্যবাদ।,Positive,Positive,Positive,
ভালো। দাম হিসাবে ভালো,Positive,Positive,Positive,
সুন্দর আছে কালার ভালো,Positive,Positive,Positive,
কোয়ালিটি মোটামুটি।,Neutral,Neutral,Neutral,
খারাপ না।ভালোই,SlightlyPositive,SlightlyPositive,SlightlyPositive,
খুবই চমৎকার!,StronglyPositive,StronglyPositive,StronglyPositive,
ততোটা ভালো না,Negative,SlightlyNegative,SlightlyNegative,
ভালো লেগেছে,Positive,Positive,Positive,
ঠিক আছে,SlightlyPositive,SlightlyPositive,SlightlyPositive,
সুন্দর,Positive,Positive,Positive,
ভাল,Positive,Positive,Positive,
"যেমন চেয়েছিলাম তেমনটাই পাইছি,প্যাকেজিং ও ভালো ছিল,ধন্যবাদ দারাজ কে।।",Positive,Positive,Positive,
ভালো ছিলো তবে বোর্ড আর ডিজাইন প্রতি আরো নজর দেয়া দরকার,Positive,Positive,Positive,
এক কথায় অসাধারণ,StronglyPositive,StronglyPositive,StronglyPositive,
"ডাইরি ভালো ছিল,, দাম আন্দাজে ছবি ফিনিশিং কম ছিল,,ডায়রির পেজ আরো বেশি দেওয়া উচিত ছিল",SlightlyPositive,SlightlyPositive,SlightlyPositive,
প্রোডাক্টটি খুব সুন্দর সাইজ টাও পারফেক্ট চাইলে নিতে পারেন সব মিলিয়ে অসাধারণ 💕,StronglyPositive,StronglyPositive,StronglyPositive,
খুব ভয়ে ভয়ে অর্ডারটা করেছিলাম একজনকে গিফট দেবো তো তাই। কেমন হবে সুন্দর হবে কিনা। মাত্র হাতে পেলাম নোটপ্যাডটি। মাশাল্লাহ এতো সুন্দর। যদিও কিছু কিছু জায়গায় সামান্য অমিল বাট সমস্যা নেই😅,Positive,Positive,Positive,
অনেক ধন্যবাদ যেমন চেয়েছি তেমনি পেয়েছি খুব দারুন হইছে পুরাই ১ এর ক হইছে,StronglyPositive,StronglyPositive,StronglyPositive,
কালার যেমন চাইছি তেমনিই পাইছি কিন্তু ফ্যাশন কম্পানির নাম ছিল আর আমাকে দিয়েছে স্পোর্টস কম্পানির আর কাপড় টা এই দাম অনুযায় ভালো,SlightlyPositive,SlightlyPositive,SlightlyPositive,
অনেক অনেক সুন্দর হয়েছে ধন্যবাদ,StronglyPositive,StronglyPositive,StronglyPositive,
ব্যাগ ভালো কিন্তু বেগের বেলটি চিড়া। যেমনটা চেয়েছিলাম তেমনটা পাইছি না চিনার কারণে,SlightlyNegative,SlightlyNegative,SlightlyNegative,
ব্যাগের কোয়ালিটি হুবহু ঠিক আছে। তবে সাইজটা অনেক ছোট। এক লেটার একটা পানির বোতল রাখা যাবে না ভেতরে। তাছাড়া সব কিছু ঠিক আছে। তিন দিনের ভিতর ব্যাকটি হাতে পেয়েছে।,SlightlyNegative,SlightlyNegative,SlightlyNegative,
"আলহামদুলিল্লাহ অনেক ভালো মানের মাল ছিল মাএ তিন দিনে হাতে পেয়েছি, ড়েলেভারী ম্যান অনেক ভালো ছিল",StronglyPositive,StronglyPositive,StronglyPositive,
আলহামদুলিল্লাহ কম দামে ভালো বেগ আমার ভালো লেগেছে ধন্যবাদ দারাজ কে,StronglyPositive,StronglyPositive,StronglyPositive,
"ভালোই খারাপ নাহ,,,,,",Neutral,SlightlyPositive,SlightlyPositive,
"ব্যাগ ঠিক আছে,, কিন্তু লোকাল কলটি এবং ফিতাটি একটু ছোট্ট, তাই বহন করতে একটু সমস্যা হয়।",SlightlyNegative,SlightlyNegative,SlightlyNegative,
আমি মনে করেছিলাম বড় এখন দেখি ছোট এজন্যই আমি রিটার্ন করতে চাচ্ছি,Negative,Neutral,Neutral,
শালারা এত খারাপ যা কিনবেন তাতেই ঠকবেন। অর্ডার লাল পাইছি কালো।,StronglyNegative,StronglyNegative,StronglyNegative,
আলহামদুলিল্লাহ্ ভাল পেয়েছি কিন্তু ছোট,SlightlyNegative,SlightlyNegative,SlightlyNegative,
টাকার হিসাবে ভালোই খারাপ না।,Neutral,SlightlyPositive,SlightlyPositive,
ধন্যবাদ দ্রুত হাতে পেলাম,SlightlyPositive,Positive,Positive,
"একসাথে চার অর্ডার দিছিলাম।একটা ছেঁড়া ছিলো। ছবি যেমন দেখাচ্ছে ব্যাগের কাপড় তেমন না, তবে দাম হিসেবে ঠিকই ছিলো।",SlightlyNegative,SlightlyPositive,SlightlyPositive,
ঠিক যেমনটা চাইছিলাম তেমনটাই পাইছি ধন্যবাদ দারাজ অ্যাপ কে আর অসংখ্য ধন্যবাদ সেলার কে,StronglyPositive,StronglyPositive,StronglyPositive,
আগের প্রডাক্ট গুলো খুব ভালো ছিলো এখন একটু জিনিসের মান কমছে। ভালো পাইনাই,SlightlyNegative,SlightlyNegative,SlightlyNegative,
সেলারের ব্যবহার ভাল।ব্যাগটা ২জায়গায় সেলাই খুলে গেছে। দাম অনুযায়ী ব্যাগ ঠিক আছে।ডিফেক্ট গুলা না থাকলে ৫/৫ দেয়া যেত।,SlightlyNegative,SlightlyPositive,SlightlyPositive,
২টা ব্যাগ অর্ডার করলাম একটার ফিতা সেলাই এর অবস্থা করুন আরেকটার পম পম এর অবস্থা করুন ড্যামেজ আর ময়লা। যেখানে ৫/৫ পাওয়ার যোগ্যতা রাখতো এই সমস্যা গুলি না থাকলে।,SlightlyNegative,StronglyNegative,StronglyNegative,
